pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass,sy_snum,sy_pnum,discoverymethod,pl_bmasse
HAT-P-44 b,HAT-P-44,2014,13.922,4.301219,0.0507,1108.0,0.044,5295.0,0.949,0.942,1,2,Transit,111.871
HAT-P-44 c,HAT-P-44,2014,13.0,872.2,1.752,187.92,0.494,5295.0,0.949,0.942,1,2,Radial Velocity,1271.3
HAT-P-45 b,HAT-P-45,2014,15.984,3.128992,0.0452,1652.0,0.049,6330.0,1.319,1.259,1,1,Transit,283.492
HAT-P-46 b,HAT-P-46,2014,14.392,4.463129,0.0577,1458.0,0.123,6120.0,1.396,1.284,1,1,Transit,156.684
HAT-P-47 b,HAT-P-47,2026,14.71739166,4.73217441,0.099815,1605.0,0.0,6703.0,1.515,1.387,1,1,Transit,65.47265184
HAT-P-5 b,HAT-P-5,2007,13.56289,2.78849,0.04073,1517.0,0.0,5960.0,1.12,1.04,1,1,Transit,311.4734
HAT-P-50 b,HAT-P-50,2015,14.437192,3.1220109,0.0453,1862.0,0.115,6280.0,1.698,1.273,1,1,Transit,429.0705
HAT-P-52 b,HAT-P-52,2015,11.309881,2.7535953,0.03694,1218.0,0.047,5131.0,0.893,0.887,1,1,Transit,259.98494
HAT-P-53 b,HAT-P-53,2015,14.773462,1.9616241,0.03159,1778.0,0.134,5956.0,1.209,1.093,1,1,Transit,471.65972
HAT-P-54 b,HAT-P-54,2015,10.581296,3.799847,0.04117,818.0,0.074,4390.0,0.617,0.645,1,1,Transit,241.5508
HAT-P-55 b,HAT-P-55,2015,14.84069045,3.5852313,0.04628,1367.0,0.17,5804.0,1.105,1.028,1,1,Transit,189.42573057
HAT-P-56 b,HAT-P-56,2015,16.92559,2.79083,0.0423,1840.0,0.29,6566.0,1.47,1.42,1,1,Transit,734.1873
HAT-P-57 b,HAT-P-57,2015,19.50366,2.4653,0.0406,2200.0,0.0,6330.0,1.85,2.77,3,1,Transit,448.1403
HAT-P-58 b,HAT-P-58,2021,14.93036229,4.0138379,0.04994,1622.0,0.073,6078.0,1.53,1.031,1,1,Transit,118.2321674
HAT-P-59 b,HAT-P-59,2021,12.58768533,4.1419771,0.05064,1277.8,0.03,5678.0,1.1038,1.008,1,1,Transit,489.45574678
HAT-P-6 b,HAT-P-6,2007,16.58932,3.85298,0.05239,1675.0,0.0,6570.0,1.62,1.79,1,1,Transit,419.5356
HAT-P-60 b,HAT-P-60,2021,18.28184752,4.7947813,0.06277,1772.0,0.25,6212.0,2.197,1.435,1,1,Transit,182.43350562
HAT-P-62 b,HAT-P-62,2021,12.02723629,2.6453235,0.03772,1512.0,0.101,5629.0,1.17,1.023,1,1,Transit,241.86741773
HAT-P-63 b,HAT-P-63,2021,12.5428494,3.377728,0.04294,1237.0,0.069,5400.0,0.9661,0.925,1,1,Transit,195.1466419
HAT-P-65 b,HAT-P-65,2016,18.05766791,2.60544751,0.04042,1818.0,0.304,5872.0,1.666,1.297,1,1,Transit,176.07693748
HAT-P-66 b,HAT-P-66,2016,17.82231,2.972086,0.04363,1896.0,0.09,6002.0,1.881,1.255,1,1,Transit,248.86089
HAT-P-67 b,HAT-P-67,2017,23.9872187,4.8101069,0.06505,1903.0,0.0,6640.0,2.62,1.73,2,1,Transit,143.02278315
HAT-P-68 b,HAT-P-68,2020,12.016048,2.29840551,0.02996,1027.8,0.041,4508.0,0.6701,0.6785,1,1,Transit,230.10892
HAT-P-69 b,HAT-P-69,2019,18.786284,4.7869491,0.06555,1930.0,0.0,7394.0,1.926,1.648,1,1,Transit,1137.8314
HAT-P-7 b,HAT-P-7,2008,16.92559,2.20474,0.03809,2733.0,0.0,6389.0,2.0,1.56,3,1,Transit,584.8072
HAT-P-70 b,HAT-P-70,2019,20.96083,2.74432452,0.04739,2562.0,0.0,8450.0,1.858,1.89,1,1,Transit,2154.8874
HAT-P-8 b,HAT-P-8,2008,15.6926,3.07634,0.04496,1713.0,0.0,6200.0,1.57,1.27,3,1,Transit,406.8224
HAT-P-9 b,HAT-P-9,2008,15.614137,3.92281072,0.05287,1540.0,0.084,6350.0,1.338,1.281,1,1,Transit,238.05467
HATS-1 b,HATS-1,2012,14.594,3.446459,0.0444,1359.0,0.12,5870.0,1.038,0.986,1,1,Transit,589.55
HATS-10 b,HATS-10,2015,10.861521,3.312846,0.04491,1407.0,0.501,5880.0,1.105,1.101,1,1,Transit,167.17858
HATS-11 b,HATS-11,2016,18.03,3.619188,0.0507,1596.0,0.34,6563.0,1.54,1.33,1,1,Transit,263.7989
