pl_name,hostname,discoverymethod,disc_year,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,sy_snum,sy_pnum
"KMT-2019-BLG-0298L b","KMT-2019-BLG-0298L","Microlensing",2023,575.26941667,13.40000000,,5.6700000000,,,,,0.700000,1,1
"WASP-60 b","WASP-60","Transit",2012,174.80650000,9.86392000,4.30500000000,0.0554800000,0.000000,1479.00,5900.00,1.170000,1.190000,1,1
"KMT-2019-BLG-0371L b","KMT-2019-BLG-0371L","Microlensing",2021,2447.27873390,12.60000000,,0.7900000000,,,,,0.090000,1,1
"TOI-5916 b","TOI-5916","Transit",2026,219.00000000,11.80000000,2.36712341000,0.0278900000,0.045000,716.00,3541.00,0.487000,0.518000,1,1
"OGLE-2017-BLG-1237L b","OGLE-2017-BLG-1237L","Microlensing",2024,1207.74794660,13.00000000,,2.5300000000,,,,,0.460000,1,1
"OGLE-2017-BLG-0640L b","OGLE-2017-BLG-0640L","Microlensing",2024,514.88201934,13.50000000,,1.1400000000,,,,,0.320000,1,1
"MXB 1658-298 b","MXB 1658-298","Eclipse Timing Variations",2017,7532.57100000,12.00000000,760.00000000000,1.6130000000,,,,,1.980000,2,1
"KMT-2018-BLG-0029L b","KMT-2018-BLG-0029L","Microlensing",2020,7.59000000,2.67000000,,4.2700000000,,,,,1.140000,1,1
"Kepler-619 c","Kepler-619","Transit",2016,3.50000000,1.69000000,1.20846502600,0.0221600000,0.000000,1767.00,5980.00,1.110000,1.090000,1,3
"Kepler-186 b","Kepler-186","Transit",2014,1.24000000,1.07000000,3.88679070000,0.0343000000,0.000000,571.00,3788.00,0.472000,0.478000,1,5
"K2-183 d","K2-183","Transit",2018,5.90000000,2.30000000,22.62034400000,0.1527000000,,615.00,5482.00,0.870000,0.942219,1,3
"Kepler-1677 b","Kepler-1677","Transit",2020,7.76000000,2.70216183,22.06400000000,0.1599000000,0.000000,712.00,6013.72,1.249590,1.110000,1,1
"KMT-2018-BLG-0087L b","KMT-2018-BLG-0087L","Microlensing",2022,73.10053361,10.10000000,,0.8700000000,,,,,0.100000,1,1
"KOI-55 c","KOI-55","Orbital Brightness Modulation",2011,0.65500000,0.86700000,0.34288700000,0.0076000000,,6910.74,27730.00,0.203000,0.496000,1,2
"KMT-2024-BLG-1044L b","KMT-2024-BLG-1044L","Microlensing",2024,7.75000000,2.70000000,,,,,,,0.069000,1,1
"KMT-2019-BLG-0297L b","KMT-2019-BLG-0297L","Microlensing",2023,6038.73973300,12.10000000,,0.9600000000,,,,,0.210000,1,1
"OGLE-2012-BLG-0724L b","OGLE-2012-BLG-0724L","Microlensing",2016,150.00000000,14.30000000,,1.6000000000,,,,,0.290000,1,1
"TOI-603 b","TOI-603","Transit",2026,33.00000000,7.37000000,16.17984600000,0.1282000000,,899.00,6027.00,1.477000,1.240000,1,1
"Kepler-1620 b","Kepler-1620","Transit",2016,3.22000000,1.61000000,101.95182900000,0.4322000000,0.000000,428.00,6157.00,1.230000,1.150000,1,1
"KMT-2019-BLG-0578L b","KMT-2019-BLG-0578L","Microlensing",2025,381.39408840,13.70000000,,2.0000000000,,,,,0.280000,1,1
"Kepler-85 e","Kepler-85","Transit",2014,0.60000000,1.27000000,25.21675100000,0.1630000000,0.000000,559.00,5436.00,0.893000,0.947000,1,4
"TOI-2128 b","TOI-2128","Transit",2024,4.50000000,2.08874836,16.34136000000,0.1270000000,0.000000,780.53,5968.00,1.117400,1.025100,1,1
"Kepler-1693 c","Kepler-1693","Transit",2021,0.89400000,0.97698289,5.36370992700,0.0588000000,0.000000,1059.00,5553.00,1.098000,0.941000,1,2
"TOI-5174 b","TOI-5174","Transit",2022,24.80000000,5.35100000,12.21428600000,,,808.37,5643.77,1.094570,1.000000,1,1
"WASP-172 b","WASP-172","Transit",2018,149.38010000,17.59813000,5.47743300000,0.0694000000,0.000000,1740.00,6900.00,1.910000,1.490000,1,1
"Kepler-403 b","Kepler-403","Transit",2014,2.10000000,1.25000000,7.03146200000,0.0760000000,0.000000,1194.00,6090.00,1.329000,1.299000,1,3
"KMT-2022-BLG-2286L b","KMT-2022-BLG-2286L","Microlensing",2024,6038.73973300,12.10000000,,2.0200000000,,,,,0.200000,1,1
"Kepler-1493 b","Kepler-1493","Transit",2016,2.57000000,1.41000000,15.02179830000,0.1197000000,0.000000,874.00,5863.00,1.290000,1.060000,1,1
"OGLE-2019-BLG-0249L b","OGLE-2019-BLG-0249L","Microlensing",2023,2262.93825784,12.70000000,,1.8400000000,,,,,0.910000,1,1
"Kepler-137 c","Kepler-137","Transit",2014,4.19000000,1.88000000,18.73575300000,0.1300000000,0.000000,568.00,5187.00,0.802000,0.850000,1,2
"TOI-2114 b","TOI-2114","Transit",2026,324.18497514,14.54925695,6.20995900000,0.0760000000,0.472000,1472.00,6400.00,1.970000,1.309000,1,1
"TOI-5806 b","TOI-5806","Transit",2026,721.47048389,15.13212395,3.18563810000,0.0484000000,,1621.00,6730.00,1.387000,1.333000,2,1
"OGLE-2018-BLG-1011L c","OGLE-2018-BLG-1011L","Microlensing",2019,890.00000000,13.20000000,,0.8000000000,,,,,0.180000,1,2
"TOI-7169 b","TOI-7169","Transit",2026,130.30964687,16.53324653,3.43731250000,0.0428000000,0.055000,1631.00,5714.00,1.500000,0.885000,1,1
"OGLE-2018-BLG-0677L b","OGLE-2018-BLG-0677L","Microlensing",2020,3.96000000,1.82000000,,0.6300000000,,,,,0.120000,1,1
"OGLE-2019-BLG-0679L b","OGLE-2019-BLG-0679L","Microlensing",2023,1061.54687938,13.10000000,,6.9900000000,,,,,0.660000,1,1
"MOA-bin-1L b","MOA-bin-1L","Microlensing",2012,1200.00000000,13.00000000,,8.3000000000,,,,,0.750000,1,1
"Kepler-365 b","Kepler-365","Transit",2014,4.82000000,2.04000000,10.66490300000,0.0980000000,0.000000,865.00,6012.00,1.048000,1.020000,1,2
"KMT-2020-BLG-0414L c","KMT-2020-BLG-0414L","Microlensing",2021,8581.36698900,11.90000000,,22.3000000000,,,,,0.490000,1,2
"HD 11977 b","HD 11977","Radial Velocity",2005,2080.00000000,12.70000000,711.00000000000,1.9300000000,0.400000,547.97,4970.00,10.090000,1.910000,1,1
"Kepler-1038 b","Kepler-1038","Transit",2016,12.20000000,3.53000000,148.46033820000,0.5238000000,0.000000,285.00,5335.00,0.830000,0.870000,1,2
"Kepler-250 c","Kepler-250","Transit",2014,5.82000000,2.28000000,7.15680400000,0.0690000000,0.000000,782.00,5160.00,0.805000,0.806000,1,3
"eps CrB b","eps CrB","Radial Velocity",2012,2129.46100000,12.70000000,417.90000000000,1.3000000000,0.110000,853.92,4406.00,21.000000,1.700000,1,1
"TOI-521 b","TOI-521","Transit",2025,5.30000000,1.98000000,1.54285047000,0.0195000000,0.000000,794.00,3544.00,0.421000,0.420000,1,1
"OGLE-2015-BLG-0954L b","OGLE-2015-BLG-0954L","Microlensing",2016,1100.00000000,13.10000000,,1.6000000000,,,,,0.300000,1,1
"KOI-134 c","KOI-134","Transit Timing Variations",2025,69.92224954,9.86000000,33.95000000000,0.2305000000,0.240000,798.82,6160.00,1.667000,1.407000,1,2
"HD 127195 c","HD 127195","Radial Velocity",2026,206.58846455,14.10000000,836.99000000000,,0.050000,,4981.00,4.160000,1.340000,1,2
